id,code,display
838,"Hmong","Hmong"
839,"Indonesian","Indonesian"
840,"Japanese","Japanese"
841,"Korean","Korean"
842,"Laotian","Laotian"
843,"Malaysian","Malaysian"
844,"Okinawan","Okinawan"
845,"Pakistani","Pakistani"
846,"Sri Lankan","Sri Lankan"
847,"Thai","Thai"
848,"Vietnamese","Vietnamese"
849,"Iwo Jiman","Iwo Jiman"
850,"Maldivian","Maldivian"
851,"Nepalese","Nepalese"
852,"Singaporean","Singaporean"
853,"Madagascar","Madagascar"
854,"Black or African American","Black or African American"
855,"Black","Black"
856,"African American","African American"
857,"African","African"
858,"Botswanan","Botswanan"
859,"Ethiopian","Ethiopian"
860,"Liberian","Liberian"
861,"Namibian","Namibian"
862,"Nigerian","Nigerian"
863,"Zairean","Zairean"
864,"Bahamian","Bahamian"
